,Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
495,654,654,/SMS-T1btbt-LLC1_ctau10to200-mGluino-1000to2800-mLSP0to2800_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18FSPremix-GridpackScan_102X_upgrade2018_realistic_v15-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,13.56917,Run 2 pre-legacy MC
497,657,657,/SMS-T2bt-LLChipm_ctau-200_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18FSPremix-102X_upgrade2018_realistic_v15-v3/AODSIM,T0_CH_CERN_Tape,AODSIM,13.5496,Run 2 pre-legacy MC
502,664,664,/TTJets_SingleLeptFromT_genMET-80_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/LHE,T0_CH_CERN_Tape,LHE,13.28641,Run 2 pre-legacy MC
503,665,665,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15DR76-PU25nsPoisson25_76X_mcRun2_asymptotic_v12-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,13.27592,Run 2 pre-legacy MC
505,667,667,/QCD_HT700to1000_TuneCP5_13TeV-madgraph-pythia8/RunIISpring18DRPremix-100X_upgrade2018_realistic_v10-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,13.22375,Run 2 pre-legacy MC
511,675,675,/ttWJets_TuneCP5_13TeV_madgraphMLM_pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11_ext1-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,13.0938,Run 2 pre-legacy MC
521,689,689,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v3/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,12.83351,Run 2 pre-legacy MC
534,703,703,/TKCosmics_38T/RunIIWinter19CosmicDR-PEAK_103X_upgrade2018cosmics_realistic_peak_v1-v1/GEN-SIM-RECO,T0_CH_CERN_Tape,GEN-SIM-RECO,12.39061,Run 2 pre-legacy MC
537,707,707,/DoubleMuonLowMass/Run2017F-09May2018-v1/AOD,T0_CH_CERN_Tape,AOD,12.29701,Run 2 pre-legacy data
539,709,709,/GGM_GravitinoLSP_M1-50to1500_M3-1000to2500_TuneCUETP8M1_13TeV_pythia8/RunIISummer16FSPremix-80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,12.23622,Run 2 pre-legacy MC
543,715,715,/TKCosmics_38T/RunIIWinter19CosmicDR-103X_upgrade2018cosmics_realistic_deco_v7-v1/GEN-SIM-RECO,T0_CH_CERN_Tape,GEN-SIM-RECO,12.16336,Run 2 pre-legacy MC
546,718,718,/TKCosmics_0T/RunIIWinter19CosmicDR-PEAK_0T_104X_mcRun2cosmics_startup_peak_v1-v1/GEN-SIM-RECO,T0_CH_CERN_Tape,GEN-SIM-RECO,12.14966,Run 2 pre-legacy MC
561,737,737,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext3-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,11.93877,Run 2 pre-legacy MC
563,739,739,/MuOnia/Run2017E-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,11.91216,Run 2 pre-legacy data
569,745,745,/DoublePion_E-100/RunIISpring18DRPremix-100X_upgrade2018_realistic_v10-v1/GEN-SIM-RECO,T0_CH_CERN_Tape,GEN-SIM-RECO,11.79721,Run 2 pre-legacy MC
572,748,748,/SingleMuon_13_30/RunIISpring18DRPremix-100X_upgrade2018_realistic_v10-v1/GEN-SIM-RECO,T0_CH_CERN_Tape,GEN-SIM-RECO,11.70195,Run 2 pre-legacy MC
574,751,751,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,11.61849,Run 2 pre-legacy MC
578,756,756,/DoublePion_E-50/RunIISpring18DRPremix-100X_upgrade2018_realistic_v10-v1/GEN-SIM-RECO,T0_CH_CERN_Tape,GEN-SIM-RECO,11.55557,Run 2 pre-legacy MC
579,757,757,/TKCosmics_0T/RunIIWinter19CosmicDR-0T_103X_mcRun2cosmics_startup_deco_v3-v1/GEN-SIM-RECO,T0_CH_CERN_Tape,GEN-SIM-RECO,11.54019,Run 2 pre-legacy MC
582,762,762,/QCD_Pt_15to30_TuneCP5_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11_ext1-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,11.45572,Run 2 pre-legacy MC
583,763,763,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISpring18DRPremix-100X_upgrade2018_realistic_v10_ext1-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,11.44312,Run 2 pre-legacy MC
586,767,767,/JpsiToMuMu_JpsiPt8_TuneCP5_13TeV-pythia8/RunIISpring18DRPremix-100X_upgrade2018_realistic_v10-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,11.31317,Run 2 pre-legacy MC
592,775,775,/DoubleElectron_FlatPt-300To6500/RunIIFall17DRStdmix-FlatPU0to60_94X_mc2017_realistic_v10-v1/GEN-SIM-RAW,T0_CH_CERN_Tape,GEN-SIM-RAW,11.20517,Run 2 pre-legacy MC
