dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/StreamExpress/Run2018A-SiStripCalMinBias-Express-v1/ALCARECO,T2_CH_CERN,41.74342,1/1/70,0,59543,59543,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ParkingDoubleElectronLowMass5/Run2022C-PromptReco-v1/MINIAOD,T1_US_FNAL_Disk,1.34662,1/1/70,0,426,426,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/JetHT/Run2018D-TkAlMinBias-12Nov2019_UL2018-v3/ALCARECO,T1_US_FNAL_Disk,41.70965,1/1/70,0,11912,11912,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/HIOniaL1DoubleMu0/HIRun2015-PromptReco-v1/AOD,T2_US_Vanderbilt,40.24349,3/31/20,1585655239000,12541,12541,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/PMSSM_set_2_prompt_2_TuneCP2_13TeV-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_GridpackScan_94X_mc2017_realistic_v15-v1/MINIAODSIM,T2_US_Caltech,1.82131,1/1/70,0,563,563,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/StreamExpress/Run2018D-SiStripCalZeroBias-Express-v1/ALCARECO,T2_CH_CERN,39.15393,1/1/70,0,124113,124113,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZZTo4L_13TeV_powheg_pythia8_ext1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_DE_DESY,3.03816,11/20/20,1605859330000,1287,1287,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/DY1JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T2_DE_DESY,1.97523,7/31/21,1627711026000,475,475,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3_ext1-v2/MINIAODSIM,T1_US_FNAL_Disk,1.0571,8/8/21,1628404637000,208,208,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ggH_HToSSTo4Tau_MH-125_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_rp_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T2_US_Purdue,1.28023,5/16/20,1589621859000,450,450,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
