,dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse.1,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,category
2516,/ttH_HToInvisible_M125_TuneCUETP8M1_13TeV_powheg_pythia8/RunIISummer16DR80-80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/AODSIM,T1_US_FNAL_Disk,1.98394,10/2/20,1601651094000,556,556,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
2517,/HTMHT/Run2016H-03Feb2017_ver2-v1/MINIAOD,T2_UK_London_IC,1.25467,1/1/70,0,413,413,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2520,/JetHT/Run2015D-v1/RAW,T2_CH_CERN,1.97523,9/22/21,1632311549000,695,695,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
2521,/SingleElectron/Run2016E-17Jul2018-v1/MINIAOD,T2_DE_DESY,3.06439,1/19/38,2147483647000,819,819,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2522,/SingleMuon/Run2016E-03Feb2017-v1/MINIAOD,T1_US_FNAL_Disk,2.29542,6/7/20,1591535025000,637,637,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2523,/SingleElectron/Run2016F-PromptReco-v1/MINIAOD,T2_UK_London_IC,1.85857,1/1/70,0,800,800,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2526,/SMS-T2bt-LLChipm_ctau-10_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_102X_upgrade2018_realistic_v15-v3/MINIAODSIM,T2_US_Wisconsin,2.1351,5/20/20,1590005490000,628,628,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2528,/TTToHadronic_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,T1_US_FNAL_Disk,1.50918,7/29/21,1627544912000,489,489,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2529,/ZZTo2L2Q_TuneCP5_13TeV_amcatnloFXFX_madspin_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v2/MINIAODSIM,T1_US_FNAL_Disk,1.52464,1/19/38,2147483647000,440,440,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2530,/ST_tW_antitop_5f_NoFullyHadronicDecays_mtop1755_TuneCP5_13TeV-powheg-pythia8/RunIISummer19UL17DIGIPremix-BACKFILL_106X_mc2017_realistic_v6-v4/GEN-SIM-DIGI,T2_UA_KIPT,1.97092,9/23/20,1600893452000,97,97,['sync_t2_ua_kipt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
