,dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse.1,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,category
2336,/EphemeralHLTPhysics4/Run2018D-v1/RAW,T1_US_FNAL_Disk,7.79523,8/27/21,1630101263000,2167,2167,['t1_us_fnal_disk_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2338,/BuToKJpsi_Toee_Mufilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18DR-PUPoissonAve20_102X_upgrade2018_realistic_v15_ext1-v1/AODSIM,T2_CH_CERN,2.12498,1/1/70,0,654,654,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
2340,/SingleNeutrino/PhaseIIFall17D-L1TPU200_93X_upgrade2023_realistic_v5-v1/GEN-SIM-DIGI-RAW,T1_ES_PIC_Disk,14.95499,1/1/70,0,612,612,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
2341,/ScoutingCaloHT/Run2016D-v2/RAW,T3_US_FNALLPC,2.12134,1/1/70,0,737,737,['sync_t3_us_fnallpc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2342,/PMSSM_set_2_LL_2_TuneCP2_13TeV-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_GridpackScan_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_UCSD,5.09525,1/1/70,0,1519,1519,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2343,/SUSYGluGluToBBHToBB_M-450_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,T1_US_FNAL_Disk,1.32122,8/31/20,1598885359000,585,585,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2344,/VBF-EWKino_Higgsino_TuneCP2_13TeV-madgraph-pythia8/RunIIAutumn18MiniAOD-GridpackScan_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_MIT,4.5459,1/19/38,2147483647000,1474,1474,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2345,/AllPhysics2760/Run2011A-PromptReco-v2/AOD,T2_US_Vanderbilt,2.11321,1/1/70,0,715,715,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
2346,/SMS-T2bW_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,1.96923,5/22/20,1590187073000,586,586,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2347,/W1JetsToLNu_LHEWpT_50-150_TuneCP5_13TeV-amcnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,T1_US_FNAL_Disk,1.46683,5/22/20,1590177117000,753,753,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LHE
2348,/W2JetsToLNu_LHEWpT_100-150_TuneCP5_13TeV-amcnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T2_DE_DESY,1.77446,5/22/20,1590170999000,590,590,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LHE
2349,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v2/MINIAODSIM,T1_US_FNAL_Disk,1.46468,9/29/21,1632946470000,477,477,['t1_us_fnal_disk_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2350,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,T3_FR_IPNL,1.59469,7/28/21,1627494065000,483,483,['t3_fr_ipnl_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2351,/DYJetsToLL_M-1to5_HT-70to100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T1_US_FNAL_Disk,1.01274,5/21/20,1590046663000,362,362,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2352,/DYJetsToNuNu_PtZ-100To250_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3_ext4-v2/MINIAODSIM,T1_US_FNAL_Disk,1.64,5/24/20,1590299121000,392,392,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2353,/WJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3_ext2-v1/MINIAODSIM,T1_US_FNAL_Disk,6.34923,9/16/21,1631824913000,1690,1690,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2356,/AllPhysics2760/Run2011A-PromptReco-v2/AOD,T2_BR_SPRACE,2.11321,1/1/70,0,715,715,['sync_t2_br_sprace'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
2357,/BTagCSV/Run2016B-23Sep2016-v3/MINIAOD,T1_US_FNAL_Disk,2.11557,1/1/70,0,825,825,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2358,/DisplacedJet/Run2016B-03Feb2017_ver2-v2/MINIAOD,T2_US_Nebraska,1.6598,1/1/70,0,441,441,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2359,/SingleElectron/Run2016C-03Feb2017-v1/MINIAOD,T2_BE_IIHE,3.18924,6/7/20,1591559590000,814,814,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2360,/SingleElectron/Run2016E-18Apr2017-v1/MINIAOD,T2_US_MIT,3.02943,1/1/70,0,1004,1004,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2361,/ZeroBiasIsolatedBunches1/Run2017D-PromptReco-v1/RECO,T2_CH_CERN,2.10638,1/1/70,0,234,234,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2362,/Trijet_NNPDF31nnlo_bornkt100GeV_TuneCP5_13TeV_powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,2.31053,1/1/70,0,949,949,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2363,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-scaledown-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,T3_CH_CERN_OpenData,1.40634,1/1/70,0,884,884,['kati'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2364,/QCD_Pt-15to7000_TuneCP5_Flat2017_13TeV_pythia8/RunIIFall17DRStdmix-NoPU_94X_mc2017_realistic_v10-v2/AODSIM,T3_US_FNALLPC,16.52205,1/1/70,0,4942,4942,['t3_us_fnallpc_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
2365,/DYJetsToLL_Pt-50To100_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISummer16DR80Premix-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/AODSIM,T1_US_FNAL_Disk,10.07652,1/1/70,0,2572,2572,['t1_us_fnal_disk_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
2366,/BuToMuMuK_BMuonFilter_SoftQCDnonD_TuneCUEP8M1_13TeV-pythia8-evtgen/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T1_US_FNAL_Disk,1.83639,8/6/20,1596714570000,572,572,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2368,/ZeroBiasIsolatedBunches4/Run2017D-PromptReco-v1/RECO,T2_CH_CERN,2.10585,1/1/70,0,232,232,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2369,/MuonEG/Run2016H-03Feb2017_ver2-v1/MINIAOD,T2_BE_IIHE,1.08414,5/4/20,1588604853000,308,308,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2370,/ZeroBiasIsolatedBunches2/Run2017D-PromptReco-v1/RECO,T2_CH_CERN,2.10521,1/1/70,0,234,234,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2371,/ZeroBiasIsolatedBunches3/Run2017D-PromptReco-v1/RECO,T2_CH_CERN,2.10364,1/1/70,0,233,233,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2372,/BuToKee_Mufilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18RECOBParking-PUPoissonAve20_BParking_102X_upgrade2018_realistic_v15_ext1-v1/AODSIM,T2_CH_CERN,2.09436,1/1/70,0,768,768,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
2373,/JetHT/Run2016C-PromptReco-v2/MINIAOD,T2_UK_London_IC,1.41189,1/1/70,0,640,640,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2375,/JetHT/Run2016G-23Sep2016-v1/MINIAOD,T2_US_MIT,3.69777,11/13/20,1605240982000,1587,1587,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2377,/SingleElectron/Run2016H-17Jul2018-v1/MINIAOD,T2_DE_DESY,3.62187,1/19/38,2147483647000,969,969,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2378,/SingleElectron/Run2016H-PromptReco-v2/MINIAOD,T2_UK_London_IC,3.56606,1/1/70,0,1531,1531,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2379,/DoubleMuon/Run2017F-31Mar2018-v1/MINIAOD,T2_CH_CERN,2.7393,9/17/21,1631909531000,847,847,['t2_ch_cern_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2381,/ParkingDoubleMuonLowMass1/Run2022C-PromptReco-v1/MINIAOD,T2_US_Caltech,1.0768,1/1/70,0,428,428,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2384,/DoubleMuon/Run2017C-PromptReco-v3/AOD,T2_CH_CERN,2.09058,1/1/70,0,633,633,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2385,/HydjetDrum_Dijet80_Tracking/StoreResults-MC_STARTHI44_V7_RAW-v0/USER,T2_US_MIT,2.08993,1/1/70,0,922,922,['sync_t2_us_mit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skims
2387,/DYJetsToLL_M-1to4_HT-200to400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17DRPremix-PU2017_94X_mc2017_realistic_v11-v1/AODSIM,T3_US_FNALLPC,2.08755,1/1/70,0,619,619,['sync_t3_us_fnallpc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
2388,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,T3_CH_CERN_OpenData,1.32487,1/1/70,0,910,910,['kati'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2389,/HydjetDrum_Pythia120_Tracking/StoreResults-MC_STARTHI44_V7_RAW-v0/USER,T2_US_MIT,2.08742,1/1/70,0,916,916,['sync_t2_us_mit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skims
2390,/PMSSM_set_1_prompt_2_TuneCP2_13TeV-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_GridpackScan_94X_mc2017_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,1.86756,1/1/70,0,562,562,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2391,/ST_t-channel_top_4f_InclusiveDecays_TuneCP5up_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T2_US_Florida,1.91937,9/24/20,1600918576000,875,875,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2392,/TTToSemiLeptonic_widthx1p3_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T2_US_Purdue,1.06703,5/20/20,1589964421000,343,343,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2393,/W1JetsToLNu_LHEWpT_100-150_TuneCP5_13TeV-amcnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,T2_US_Purdue,3.32506,9/30/21,1633014511000,1438,1438,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LHE
2394,/W1JetsToLNu_LHEWpT_150-250_TuneCP5_13TeV-amcnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,T2_DE_DESY,12.04583,8/13/21,1628897467000,4343,4343,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LHE
2395,/WJetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v1/MINIAODSIM,T1_US_FNAL_Disk,1.56574,5/18/20,1589784631000,638,638,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2396,/TTToSemiLeptonic_TuneCP5_PSweights_erdON_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T2_DE_DESY,1.31645,10/8/21,1633681667000,433,433,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2398,/AlCaPhiSym/Run2016D-v2/RAW,T2_CH_CERN,2.07318,1/1/70,0,937,937,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2404,/AllPhysics2760/Run2011A-16Jul2011-v1/RECO,T3_CH_CERN_OpenData,6.57093,1/1/70,0,1491,1491,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
2405,/SingleElectron/Run2016C-PromptReco-v2/MINIAOD,T2_UK_London_IC,2.4643,1/1/70,0,1080,1080,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2406,/SingleElectron/Run2016D-23Sep2016-v1/MINIAOD,T2_IT_Legnaro,3.62552,1/1/70,0,1476,1476,['t2_it_legnaro_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2407,/JetHT/Run2016H-PromptReco-v2/MINIAOD,T3_CH_PSI,3.91124,9/30/20,1601489241000,1633,1633,['t3_ch_psi_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2409,/DoubleMuon/Run2017G-17Nov2017-v1/MINIAOD,T2_US_MIT,5.11195,5/30/20,1590867274000,2071,2071,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2410,/HIZeroBias10/Run2017G-17Nov2017-v1/AOD,T2_US_Vanderbilt,10.75438,8/27/21,1630099186000,3267,3267,['tuos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2411,/HIMinimumBias18/HIRun2018A-04Apr2019-v1/AOD,T2_US_Vanderbilt,101.91609,10/11/21,1633949709000,34530,34530,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIN
2412,/DiJet_pThat-15_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-FixL1CaloGT_New_Release_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,T2_US_Vanderbilt,1.10208,1/1/70,0,500,500,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2414,/DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,T2_DE_DESY,1.38433,8/21/21,1629551308000,569,569,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2415,/MSSM-higgsino_no1l_2lfilter_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,1.21955,5/22/20,1590176785000,474,474,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2416,/SMS-T2bt-LLChipm_ctau-50_mStop-1550to2500_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_102X_upgrade2018_realistic_v15-v3/MINIAODSIM,T1_US_FNAL_Disk,1.37118,5/22/20,1590188392000,436,436,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2417,/TT_noSC_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,3.81666,6/3/20,1591200998000,1822,1822,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2418,/ttHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T1_US_FNAL_Disk,1.33132,7/31/21,1627708528000,419,419,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2419,/HIMinBiasUPC/CMSSW_11_0_0_pre6-110X_dataRun2_v5_RelVal_hi2011-v1/RECO,T1_US_FNAL_Disk,2.06785,1/1/70,0,395,395,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2420,/TT_TuneCUETP8M2T4up_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,T1_US_FNAL_Disk,1.3132,6/4/20,1591294864000,579,579,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2421,/DMSimp_monojet_NLO_FXFX_GQ0p25_GDM1p0_TuneCP5_madgraph-pythia8/RunIISummer16MiniAODv3-PUMoriond17_rpscan_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T1_US_FNAL_Disk,2.01777,6/8/20,1591582264000,556,556,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2422,/ZJToMuMu_mWPilot_TuneCP5_13TeV-powheg-MiNNLO-pythia8-photos/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T2_US_Nebraska,1.48838,8/3/20,1596480770000,542,542,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2429,/VRRandom3/Commissioning2020-v1/RAW,T1_US_FNAL_Disk,6.98911,1/1/70,0,1165,1165,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2430,/SinglePhoton/Run2012B-22Jan2013-v1/AOD,T3_CH_CERN_OpenData,3.28801,1/1/70,0,900,900,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
2431,/GluGluToHToTauTau_M125_13TeV_amcatnloFXFX_pythia8_2017-GEN_PSDown-v3/dwinterb-StoreResults_GluGluToHToTauTau_M125_13TeV_amcatnloFXFX_pythia8_2017_GEN_PSDown_v-v1/USER,T2_UK_London_IC,2.05728,1/1/70,0,599,599,['sync_t2_uk_london_ic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skims
2432,/DoubleMuon/Run2016B-03Feb2017_ver2-v2/MINIAOD,T1_US_FNAL_Disk,1.94034,12/3/20,1607010792000,514,514,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2433,/SingleElectron/Run2016C-23Sep2016-v1/MINIAOD,T2_IT_Legnaro,2.42805,1/1/70,0,1077,1077,['t2_it_legnaro_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2434,/HIMinBiasUPC/CMSSW_11_1_0_pre4-111X_dataRun2_v2_MultiCore_RelVal_hi2011-v1/RECO,T1_US_FNAL_Disk,2.05505,1/1/70,0,393,393,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2435,/JetHT/Run2016E-PromptReco-v2/MINIAOD,T1_US_FNAL_Disk,2.0378,1/1/70,0,838,838,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2436,/SingleMuon/Run2016E-18Apr2017-v1/MINIAOD,T2_ES_CIEMAT,2.03971,1/1/70,0,646,646,['t2_es_ciemat_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2437,/Tau/Run2016F-03Feb2017-v1/MINIAOD,T1_US_FNAL_Disk,1.24961,1/1/70,0,324,324,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2438,/SingleElectron/Run2016G-03Feb2017-v1/MINIAOD,T2_US_Purdue,5.21943,5/4/20,1588615354000,1317,1317,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2439,/JetHT/Run2017B-12Sep2017-v1/MINIAOD,T2_US_Nebraska,1.91958,2/11/20,1581407018000,667,667,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2440,/DoubleMuonLowMass/Run2017F-PromptReco-v1/MINIAOD,T1_US_FNAL_Disk,1.23579,1/1/70,0,581,581,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2442,/EGamma/Run2018A-17Sep2018-v2/MINIAOD,T1_US_FNAL_Disk,12.50361,9/20/21,1632111691000,4790,4790,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2443,/EGamma/Run2018A-PromptReco-v2/MINIAOD,T2_US_Florida,1.47861,1/1/70,0,452,452,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2444,/ZeroBias/Run2018C-PromptReco-v2/MINIAOD,T1_US_FNAL_Disk,1.55169,11/9/20,1604966261000,613,613,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2446,/Cosmics/Run2016F-UL16-v1/RECO,T1_FR_CCIN2P3_Disk,2.05392,1/1/70,0,645,645,['sync_t1_fr_ccin2p3_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2448,/QCD_Pt-15to7000_TuneCP5_Flat_13p6TeV_pythia8/Run3Winter22MiniAOD-FlatPU0to70_122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,T1_US_FNAL_Disk,1.11042,1/1/70,0,373,373,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2449,/QCD_Pt_170to300_TuneCP5_13TeV_pythia8/RunIISummer19UL18GEN-106X_upgrade2018_realistic_v4-v3/GEN,T2_US_Nebraska,2.05373,2/9/20,1581217243000,100,100,['sync_t2_us_nebraska'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
2450,/TT_TuneCUETP8M2T4_13TeV-powheg-isrup-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v1/MINIAODSIM,T1_US_FNAL_Disk,4.31195,5/23/20,1590192152000,1651,1651,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2451,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T1_US_FNAL_Disk,3.39568,9/22/21,1632323730000,577,577,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2455,/Cosmics/Run2017C-UL17-v1/RECO,T1_RU_JINR_Disk,2.04516,1/1/70,0,476,476,['sync_t1_ru_jinr_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2456,/TT_TuneCUETP8M2T4_erdON_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T2_DE_DESY,1.29975,5/14/20,1589488226000,229,229,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2457,/MuOnia/Run2012C-22Jan2013-v1/AOD,T3_CH_CERN_OpenData,17.04556,1/1/70,0,4382,4382,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
2458,/Cosmics/Run2015D-UL15-v1/RECO,T1_IT_CNAF_Disk,2.04217,1/1/70,0,555,555,['sync_t1_it_cnaf_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
2459,/HTMHT/Run2016B-23Sep2016-v3/MINIAOD,T2_UK_London_IC,1.08155,1/1/70,0,443,443,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
