Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
10450,10450,/LM2_SUSY_sftsht_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11634,DPOA
10471,10471,/GluGluToHToZZTo4L_M-130_7TeV-powheg-pythia6/Fall11-E7TeV_Ave23_50ns-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1155,DPOA
10474,10474,/LM6_SUSY_sftsht_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v3/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11547,DPOA
10484,10484,/VBFHiggs0Mf05ph0ToWWTo2L2NU_M-125p6_7TeV-JHUGenV4/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1153,DPOA
10539,10539,/GluGluToHToZZTo4L_M-115_7TeV-powheg-pythia6/Fall11-E7TeV_Ave23_50ns-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11402,DPOA
10543,10543,/VBF_HWWToENuTauNu_woTOP_w1_7TeV-phantom/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11395,DPOA
10548,10548,/GluGluToHToZZTo4L_M-150_7TeV-powheg-pythia6/Fall11-E7TeV_Ave23_50ns-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1139,DPOA
10549,10549,/VBF_HWWToENuTauNu_woTOP_w3_7TeV-phantom/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11389,DPOA
10608,10608,/GluGluToHToZZTo4L_M-120_7TeV-powheg-pythia6/Fall11-E7TeV_Ave23_50ns-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11259,DPOA
10637,10637,/GluGluToHToZZTo4L_M-200_7TeV-powheg-pythia6/Fall11-E7TeV_Ave23_50ns-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11214,DPOA
10698,10698,/LM9t175_SUSY_sftsht_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11079,DPOA
10714,10714,/SUSYBBHToBB_M-160_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11048,DPOA
10947,10947,/SUSYBBHToBB_M-350_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.10699,DPOA
10976,10976,/LM9p_SUSY_sftsht_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1066,DPOA
11089,11089,/LM9_SUSY_sftsht_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v3/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1046,DPOA
11232,11232,/TZ_FCNC_Kut_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.10193,DPOA
11253,11253,/TZ_FCNC_Zut_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1015,DPOA
11271,11271,/TZ_FCNC_Zct_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1012,DPOA
11301,11301,/TZ_FCNC_Xut_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.10065,DPOA
11331,11331,/TZ_FCNC_Xct_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.10026,DPOA
11776,11776,/TZ_FCNC_Kct_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.09183,DPOA
12393,12393,/HPlusPlusHMinusHTo3L_M-200_7TeV-calchep-pythia6/Fall11-PU_S6_START42_V14B-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,0.08393,DPOA
